State,Account_length,Area_code,International_plan,Voice_mail_plan,Num_vmail_messages,Total_day_minutes,Total_day_calls,Total_eve_minutes,Total_eve_calls,Total_night_minutes,Total_night_calls,Total_intl_minutes,Total_intl_calls,Customer_service_calls,Total_day_charge,Total_eve_charge,Total_night_charge,Total_intl_charge,Churn
CA,237,510,no,no,32,211.2,93,149.6,51,130.7,122,11.4,6,5,35.9,12.72,5.88,3.08,0
CA,28,415,no,yes,39,238.5,35,147.0,147,166.6,116,12.5,16,7,40.54,12.5,7.5,3.38,0
KY,193,408,no,no,34,190.2,5,201.2,140,260.9,80,10.6,7,0,32.33,17.1,11.74,2.86,0
KY,113,415,no,no,33,70.1,130,146.4,87,116.3,170,10.8,11,6,11.92,12.44,5.23,2.92,0
TX,45,510,yes,no,35,74.0,64,144.7,83,275.4,99,10.0,1,4,12.58,12.3,12.39,2.7,0
FL,68,415,no,no,26,143.7,123,191.0,105,183.8,173,12.8,16,6,24.43,16.24,8.27,3.46,0
CA,7,415,no,no,18,176.9,116,151.0,91,150.9,72,15.0,19,2,30.07,12.84,6.79,4.05,0
IN,49,408,no,no,42,244.8,17,225.4,98,185.1,27,12.0,13,3,41.62,19.16,8.33,3.24,0
OH,137,415,no,yes,4,195.7,150,176.0,20,231.9,10,11.3,2,1,33.27,14.96,10.44,3.05,0
KY,164,415,no,no,28,321.3,95,140.3,5,204.8,147,9.4,18,5,54.62,11.93,9.22,2.54,0
OH,83,415,no,no,9,99.5,156,316.3,52,303.2,86,10.7,13,4,16.92,26.89,13.64,2.89,1
OH,129,408,no,no,39,186.5,150,93.4,86,223.5,157,8.9,7,0,31.7,7.94,10.06,2.4,1
TX,138,510,no,no,12,155.9,127,242.8,85,227.6,100,8.3,6,0,26.5,20.64,10.24,2.24,0
CA,164,510,no,yes,28,192.7,35,217.3,136,229.1,35,9.5,4,7,32.76,18.47,10.31,2.57,0
KY,73,415,no,yes,4,274.6,69,175.8,95,207.5,99,14.8,2,7,46.68,14.94,9.34,4.0,1
OH,237,408,yes,no,11,278.0,94,154.6,112,186.8,118,9.8,0,5,47.26,13.14,8.41,2.65,1
KY,46,415,no,yes,12,182.9,133,286.4,70,205.5,97,14.4,18,8,31.09,24.34,9.25,3.89,0
IN,106,510,yes,yes,21,226.5,161,306.2,157,212.4,87,7.4,14,0,38.51,26.03,9.56,2.0,0
TX,160,408,no,no,39,191.6,43,185.4,42,197.1,35,10.4,0,7,32.57,15.76,8.87,2.81,1
IN,32,510,no,no,14,121.9,43,178.1,165,267.8,57,11.9,4,1,20.72,15.14,12.05,3.21,0
KY,6,510,no,no,12,180.8,26,256.4,33,262.3,27,12.1,19,7,30.74,21.79,11.8,3.27,0
KY,176,408,no,no,0,152.7,99,187.7,45,136.1,38,7.1,10,2,25.96,15.95,6.12,1.92,0
CA,166,408,no,yes,37,176.6,51,229.2,31,252.3,65,6.7,13,5,30.02,19.48,11.35,1.81,0
OH,145,415,no,no,42,134.0,24,227.9,143,199.0,170,11.7,17,6,22.78,19.37,8.96,3.16,1
OH,74,415,yes,no,44,188.4,73,201.9,166,183.5,4,8.5,19,2,32.03,17.16,8.26,2.3,0
IN,114,510,no,no,51,196.5,38,208.3,0,238.3,140,11.7,8,1,33.4,17.71,10.72,3.16,0
TX,27,408,yes,no,0,218.0,139,218.5,19,215.4,8,13.9,14,0,37.06,18.57,9.69,3.75,0
FL,54,408,no,no,10,196.7,138,145.6,169,151.6,102,8.2,10,4,33.44,12.38,6.82,2.21,1
OH,178,415,no,no,42,268.3,112,166.0,71,243.6,56,8.6,4,0,45.61,14.11,10.96,2.32,1
CA,163,510,no,yes,39,298.4,2,211.3,161,195.3,26,4.5,14,0,50.73,17.96,8.79,1.22,0
IN,85,510,no,yes,21,158.2,114,177.3,10,242.7,102,12.2,1,4,26.89,15.07,10.92,3.29,0
IN,127,415,no,no,34,232.4,21,338.9,106,199.2,81,15.8,11,2,39.51,28.81,8.96,4.27,0
FL,153,408,no,yes,50,294.2,3,206.6,42,243.4,161,6.6,6,2,50.01,17.56,10.95,1.78,0
CA,156,415,no,no,43,233.8,135,113.1,9,251.1,84,13.4,1,6,39.75,9.61,11.3,3.62,0
TX,111,415,yes,no,5,218.7,13,59.3,7,264.6,64,13.6,7,2,37.18,5.04,11.91,3.67,0
CA,15,415,yes,yes,27,81.6,13,241.1,18,167.0,172,12.1,8,1,13.87,20.49,7.52,3.27,0
TX,132,415,no,no,30,149.9,15,207.1,54,298.7,86,8.4,4,2,25.48,17.6,13.44,2.27,0
CA,93,408,no,yes,7,157.7,159,272.0,2,192.3,33,9.3,14,3,26.81,23.12,8.65,2.51,0
CA,123,415,no,no,4,254.9,63,167.8,52,135.3,99,11.5,18,8,43.33,14.26,6.09,3.11,0
KY,73,408,no,no,41,140.5,15,194.0,43,209.9,135,11.4,18,1,23.88,16.49,9.45,3.08,0
IN,155,415,no,no,47,175.4,51,214.0,95,190.3,93,9.3,12,5,29.82,18.19,8.56,2.51,1
CA,154,510,no,no,43,225.4,18,192.2,47,168.5,47,11.2,12,4,38.32,16.34,7.58,3.02,0
FL,147,408,no,yes,16,138.1,68,188.1,53,202.8,163,9.0,5,5,23.48,15.99,9.13,2.43,1
CA,92,510,no,no,37,195.1,139,236.3,143,240.6,99,9.7,0,4,33.17,20.09,10.83,2.62,0
OH,17,415,no,no,8,188.0,92,158.3,157,218.1,81,9.5,9,5,31.96,13.46,9.81,2.57,0
IN,43,415,no,no,9,227.4,4,226.8,91,272.0,116,13.0,5,3,38.66,19.28,12.24,3.51,0
OH,121,415,no,no,19,215.6,41,291.4,155,193.5,10,6.1,2,7,36.65,24.77,8.71,1.65,1
IN,41,408,no,no,13,213.9,16,282.8,143,223.0,51,11.8,12,8,36.36,24.04,10.04,3.19,1
OH,170,510,no,no,13,190.8,110,109.7,50,213.5,163,11.0,18,6,32.44,9.32,9.61,2.97,0
CA,178,408,no,no,25,89.5,71,175.5,160,300.4,30,3.9,9,0,15.22,14.92,13.52,1.05,0
CA,212,408,no,yes,28,187.5,103,214.5,152,145.2,23,12.4,12,4,31.88,18.23,6.53,3.35,0
KY,237,415,no,no,48,183.0,93,263.9,17,169.5,148,12.7,6,6,31.11,22.43,7.63,3.43,0
FL,168,510,no,no,26,221.4,9,210.5,125,312.4,95,8.9,14,4,37.64,17.89,14.06,2.4,1
OH,39,415,no,no,24,157.2,15,264.0,153,188.0,157,11.3,3,4,26.72,22.44,8.46,3.05,0
TX,113,408,no,yes,15,182.3,143,166.5,5,115.1,120,10.7,10,4,30.99,14.15,5.18,2.89,0
KY,151,415,no,no,35,184.0,41,216.5,165,307.2,71,16.0,7,4,31.28,18.4,13.82,4.32,0
OH,111,510,no,yes,33,141.5,2,217.7,133,147.6,96,11.4,1,4,24.06,18.5,6.64,3.08,1
OH,224,415,no,no,15,117.7,150,265.7,77,205.3,114,10.3,0,0,20.01,22.58,9.24,2.78,0
KY,180,510,no,no,32,200.7,120,245.4,81,258.2,63,13.0,0,5,34.12,20.86,11.62,3.51,0
CA,47,510,yes,no,2,234.4,155,234.5,79,248.6,126,14.3,15,5,39.85,19.93,11.19,3.86,1
OH,63,415,no,no,22,146.3,23,242.5,87,152.7,116,15.6,17,7,24.87,20.61,6.87,4.21,1
CA,225,408,no,yes,10,168.2,18,139.5,12,328.8,38,8.4,10,4,28.59,11.86,14.8,2.27,1
KY,110,415,no,yes,47,224.8,74,191.4,64,228.5,128,11.2,7,1,38.22,16.27,10.28,3.02,0
CA,69,408,no,no,17,230.0,39,149.8,165,197.7,96,8.3,18,6,39.1,12.73,8.9,2.24,0
IN,43,408,no,yes,46,192.5,45,167.3,63,146.1,169,16.3,11,0,32.72,14.22,6.57,4.4,0
TX,176,415,no,no,40,202.4,39,191.3,13,226.0,76,10.1,5,4,34.41,16.26,10.17,2.73,1
OH,34,408,no,yes,43,208.7,61,87.2,144,281.0,4,12.6,15,4,35.48,7.41,12.64,3.4,1
FL,40,408,no,no,28,218.4,17,193.1,120,184.7,139,9.6,7,2,37.13,16.41,8.31,2.59,0
TX,203,415,yes,no,49,122.1,139,160.9,76,105.5,156,11.3,6,1,20.76,13.68,4.75,3.05,0
CA,61,415,yes,no,4,283.5,141,147.2,12,162.0,2,5.1,19,3,48.2,12.51,7.29,1.38,0
OH,178,415,no,no,23,194.8,81,204.8,72,182.1,60,12.8,2,6,33.12,17.41,8.19,3.46,0
CA,195,408,no,no,28,219.4,107,180.6,133,117.7,163,13.5,0,2,37.3,15.35,5.3,3.65,0
IN,62,510,no,no,28,138.9,11,217.1,5,228.3,110,8.4,5,5,23.61,18.45,10.27,2.27,1
KY,58,408,no,no,25,170.0,103,167.6,120,239.7,74,5.1,2,6,28.9,14.25,10.79,1.38,1
OH,161,510,no,no,39,200.4,154,191.2,93,161.4,129,14.0,18,1,34.07,16.25,7.26,3.78,0
IN,75,415,no,no,2,82.6,133,322.9,164,245.5,28,13.7,1,2,14.04,27.45,11.05,3.7,0
IN,16,510,no,no,1,131.3,87,231.2,56,150.6,40,12.1,16,8,22.32,19.65,6.78,3.27,1
OH,82,415,no,no,24,140.8,114,157.7,52,128.1,28,9.5,15,0,23.94,13.4,5.76,2.57,0
CA,94,415,yes,yes,18,111.0,32,262.0,45,143.0,99,9.2,6,7,18.87,22.27,6.44,2.48,1
FL,48,510,no,no,39,185.7,117,277.4,77,155.3,63,13.6,5,0,31.57,23.58,6.99,3.67,0
IN,138,415,no,no,1,176.0,79,229.9,131,242.6,57,9.1,10,2,29.92,19.54,10.92,2.46,0
TX,82,510,no,yes,18,256.9,11,160.9,33,230.1,137,10.4,14,5,43.67,13.68,10.35,2.81,1
IN,38,415,no,yes,0,119.5,94,251.6,41,150.6,10,10.0,10,7,20.32,21.39,6.78,2.7,1
FL,127,408,no,no,26,192.7,52,171.1,77,163.6,134,10.9,6,6,32.76,14.54,7.36,2.94,0
CA,19,408,no,no,44,132.5,12,267.5,63,295.6,76,9.7,14,2,22.52,22.74,13.3,2.62,1
CA,164,415,no,no,51,87.3,121,188.0,144,244.2,107,10.0,15,5,14.84,15.98,10.99,2.7,1
TX,187,415,no,no,48,211.7,101,186.0,117,123.8,93,14.8,7,0,35.99,15.81,5.57,4.0,0
IN,63,510,no,no,34,216.2,130,226.2,29,271.6,85,11.4,4,7,36.75,19.23,12.22,3.08,0
CA,77,408,no,no,40,209.8,57,270.5,92,321.8,64,11.0,16,8,35.67,22.99,14.48,2.97,0
FL,174,510,no,yes,4,108.9,3,318.4,6,198.6,26,12.2,1,8,18.51,27.06,8.94,3.29,0
OH,131,415,no,no,37,184.5,65,201.4,22,183.6,134,7.0,6,3,31.36,17.12,8.26,1.89,0
KY,202,415,no,yes,3,212.3,114,179.5,35,177.0,64,12.7,5,3,36.09,15.26,7.96,3.43,0
KY,102,510,no,yes,16,231.4,35,159.0,141,183.2,57,10.8,11,6,39.34,13.52,8.24,2.92,0
KY,65,415,no,yes,20,213.9,22,125.9,147,241.5,24,8.3,15,6,36.36,10.7,10.87,2.24,0
IN,120,408,no,no,47,232.1,18,149.7,115,165.8,47,9.7,10,5,39.46,12.72,7.46,2.62,1
TX,91,510,no,yes,30,237.6,39,211.8,80,241.3,3,11.4,16,6,40.39,18.0,10.86,3.08,0
CA,238,408,no,yes,47,185.7,71,252.7,159,200.0,135,10.2,9,0,31.57,21.48,9.0,2.75,0
OH,8,408,no,no,21,206.9,143,154.8,24,168.2,114,12.9,15,8,35.17,13.16,7.57,3.48,0
FL,179,408,no,no,10,234.0,57,239.4,114,219.3,3,8.0,15,5,39.78,20.35,9.87,2.16,0
OH,238,510,no,no,33,201.1,106,156.9,93,188.3,135,7.0,14,7,34.19,13.34,8.47,1.89,0
FL,234,415,no,no,48,244.7,17,163.0,48,165.5,89,7.9,14,4,41.6,13.86,7.45,2.13,1
IN,209,408,no,no,14,227.2,35,146.5,26,198.4,15,8.9,19,6,38.62,12.45,8.93,2.4,1
KY,73,408,no,yes,49,145.8,151,266.6,154,199.2,146,10.4,3,2,24.79,22.66,8.96,2.81,0
IN,134,408,no,yes,9,109.5,128,280.3,94,174.2,128,9.1,2,0,18.62,23.83,7.84,2.46,0
TX,107,415,no,no,37,181.0,0,163.5,153,156.0,100,6.8,13,6,30.77,13.9,7.02,1.84,0
TX,89,415,no,yes,31,116.2,63,159.5,13,204.9,161,6.3,9,4,19.75,13.56,9.22,1.7,0
FL,39,510,yes,no,47,184.5,61,231.1,121,211.2,111,6.5,5,0,31.36,19.64,9.5,1.76,0
CA,113,415,no,yes,30,179.6,109,286.4,47,221.6,44,9.2,10,8,30.53,24.34,9.97,2.48,0
CA,188,510,yes,no,36,250.2,163,280.7,127,219.9,62,7.8,3,8,42.53,23.86,9.9,2.11,1
FL,28,510,no,no,43,207.3,74,180.7,84,271.3,93,9.0,9,5,35.24,15.36,12.21,2.43,0
TX,97,510,no,no,27,232.8,145,190.8,91,141.3,133,13.6,15,8,39.58,16.22,6.36,3.67,0
TX,182,510,no,no,30,153.6,15,138.4,14,285.7,35,6.8,7,6,26.11,11.76,12.86,1.84,0
TX,37,510,no,no,5,262.6,16,180.2,50,127.8,120,10.8,8,7,44.64,15.32,5.75,2.92,1
IN,137,408,no,no,13,228.3,23,204.8,53,267.4,102,6.8,3,1,38.81,17.41,12.03,1.84,0
TX,82,415,yes,no,22,203.1,97,132.5,138,227.1,65,6.4,16,1,34.53,11.26,10.22,1.73,0
OH,56,408,no,no,15,82.4,129,172.8,107,172.1,118,11.0,9,3,14.01,14.69,7.74,2.97,0
KY,187,510,no,yes,24,243.7,137,211.1,74,69.3,7,11.8,12,0,41.43,17.94,3.12,3.19,0
TX,85,415,no,yes,38,275.8,13,124.0,27,119.3,26,12.1,16,7,46.89,10.54,5.37,3.27,1
FL,2,408,no,no,1,180.6,111,223.5,153,165.8,33,13.0,18,4,30.7,19.0,7.46,3.51,0
KY,189,408,no,yes,37,181.7,65,251.0,127,224.1,27,9.5,16,6,30.89,21.34,10.08,2.57,0
IN,58,510,yes,no,40,152.1,81,228.5,69,171.1,158,10.7,3,1,25.86,19.42,7.7,2.89,0
FL,107,408,no,yes,38,91.9,92,175.2,159,197.9,144,9.0,5,4,15.62,14.89,8.91,2.43,0
KY,123,408,yes,no,33,149.6,71,258.6,95,176.4,107,13.5,13,8,25.43,21.98,7.94,3.65,1
FL,188,408,no,yes,50,269.6,100,269.4,139,209.1,122,7.5,8,8,45.83,22.9,9.41,2.03,0
IN,230,408,no,no,39,238.3,48,215.9,102,125.3,8,11.4,5,1,40.51,18.35,5.64,3.08,0
OH,168,408,no,yes,42,138.3,89,207.5,161,185.7,56,7.1,9,1,23.51,17.64,8.36,1.92,0
IN,164,510,no,yes,24,148.8,36,169.0,86,228.4,44,10.3,5,4,25.3,14.36,10.28,2.78,1
IN,114,510,no,yes,35,295.3,160,179.7,104,336.4,133,5.7,8,2,50.2,15.27,15.14,1.54,0
FL,107,408,no,no,15,124.9,149,253.6,108,245.5,141,10.6,12,0,21.23,21.56,11.05,2.86,0
CA,37,510,no,yes,17,141.4,69,292.5,80,190.0,158,15.3,15,0,24.04,24.86,8.55,4.13,0
TX,79,510,no,no,12,156.8,32,179.3,44,165.5,10,8.5,15,4,26.66,15.24,7.45,2.3,0
TX,92,415,no,yes,36,106.7,27,191.4,111,224.7,68,9.3,18,2,18.14,16.27,10.11,2.51,0
OH,18,408,no,yes,26,151.0,87,167.6,59,154.7,94,12.3,4,8,25.67,14.25,6.96,3.32,1
OH,98,510,no,no,33,151.8,3,178.5,70,207.8,129,10.1,10,2,25.81,15.17,9.35,2.73,0
TX,63,510,no,no,10,131.3,65,137.1,12,217.1,102,13.3,14,2,22.32,11.65,9.77,3.59,0
CA,150,408,no,no,0,251.7,76,221.5,77,189.3,16,11.1,7,2,42.79,18.83,8.52,3.0,1
TX,139,415,no,no,12,117.0,109,136.6,124,252.5,109,12.4,14,0,19.89,11.61,11.36,3.35,0
CA,186,408,no,no,29,172.3,48,172.6,97,194.9,35,4.7,10,2,29.29,14.67,8.77,1.27,0
OH,185,415,no,no,4,132.6,127,196.9,90,175.7,130,10.2,12,4,22.54,16.74,7.91,2.75,0
KY,205,408,no,no,17,168.7,138,134.3,88,172.5,42,7.0,1,7,28.68,11.42,7.76,1.89,1
FL,4,408,no,no,13,130.1,34,161.3,98,130.3,92,8.9,1,6,22.12,13.71,5.86,2.4,1
OH,214,408,no,no,12,184.1,137,143.7,72,123.2,32,11.2,11,3,31.3,12.21,5.54,3.02,0
OH,135,408,no,no,31,197.4,73,255.0,69,232.4,101,9.4,19,3,33.56,21.68,10.46,2.54,0
IN,61,415,no,no,6,255.7,68,271.2,153,279.8,28,7.9,8,3,43.47,23.05,12.59,2.13,0
IN,107,415,no,yes,7,148.2,150,160.5,38,316.0,150,13.4,19,7,25.19,13.64,14.22,3.62,0
IN,54,510,no,yes,49,267.4,33,338.2,26,260.3,80,12.7,14,7,45.46,28.75,11.71,3.43,1
FL,88,408,no,no,6,136.4,123,153.3,39,228.1,74,6.3,6,1,23.19,13.03,10.26,1.7,0
IN,68,415,no,no,51,167.1,110,178.8,122,216.6,155,12.1,13,6,28.41,15.2,9.75,3.27,1
CA,220,415,no,no,48,275.3,31,224.6,30,270.7,108,10.5,16,4,46.8,19.09,12.18,2.84,1
TX,207,415,no,yes,15,336.8,15,229.4,130,180.1,103,10.6,1,1,57.26,19.5,8.1,2.86,0
KY,129,408,no,no,42,271.0,67,184.0,14,297.3,71,14.2,8,2,46.07,15.64,13.38,3.83,0
OH,55,510,no,yes,30,167.9,53,254.7,69,197.9,24,10.4,12,6,28.54,21.65,8.91,2.81,1
CA,3,415,no,no,50,207.8,123,259.9,10,214.0,134,11.9,4,5,35.33,22.09,9.63,3.21,0
KY,206,408,no,yes,26,216.9,155,199.6,29,201.3,120,10.6,3,5,36.87,16.97,9.06,2.86,1
CA,166,415,no,no,32,198.7,111,192.5,34,260.8,74,10.6,0,6,33.78,16.36,11.74,2.86,0
CA,242,415,no,no,28,125.6,59,169.5,111,199.4,161,7.5,8,5,21.35,14.41,8.97,2.03,1
OH,121,510,no,yes,7,192.7,77,148.0,42,221.9,149,16.6,15,1,32.76,12.58,9.99,4.48,0
TX,129,415,yes,no,32,152.7,75,160.0,167,134.2,66,1.7,18,7,25.96,13.6,6.04,0.46,1
IN,102,415,no,no,40,127.7,59,227.2,92,189.5,103,8.0,2,6,21.71,19.31,8.53,2.16,0
FL,38,408,no,yes,18,163.2,84,200.0,169,256.5,118,8.7,2,5,27.74,17.0,11.54,2.35,1
TX,85,408,no,no,20,197.0,111,187.8,169,154.4,69,12.5,6,4,33.49,15.96,6.95,3.38,0
FL,240,510,no,no,40,234.1,79,171.4,118,198.6,56,6.2,17,5,39.8,14.57,8.94,1.67,0
OH,157,408,no,no,20,166.3,117,172.5,2,197.8,152,9.5,19,2,28.27,14.66,8.9,2.57,0
OH,133,408,no,yes,24,175.8,1,197.7,89,168.4,65,12.1,6,1,29.89,16.8,7.58,3.27,0
OH,241,510,yes,no,41,223.4,22,193.8,77,255.0,143,6.7,15,8,37.98,16.47,11.48,1.81,0
KY,202,415,no,no,22,183.8,45,199.9,82,226.7,57,9.6,3,0,31.25,16.99,10.2,2.59,0
FL,92,510,no,no,10,200.6,72,177.8,84,248.7,116,9.5,12,1,34.1,15.11,11.19,2.57,0
TX,21,408,no,no,32,184.2,53,166.5,123,256.8,168,8.4,9,0,31.31,14.15,11.56,2.27,0
TX,242,510,no,no,19,190.9,70,200.4,148,201.7,50,10.1,1,7,32.45,17.03,9.08,2.73,1
CA,199,415,no,yes,24,121.7,124,232.5,76,285.0,20,8.9,18,3,20.69,19.76,12.82,2.4,1
CA,195,510,no,yes,25,186.6,80,174.6,104,134.3,78,12.6,13,5,31.72,14.84,6.04,3.4,1
CA,109,408,no,no,39,257.1,8,80.6,52,191.9,55,11.4,5,4,43.71,6.85,8.64,3.08,0
OH,47,408,no,no,51,189.1,69,131.6,43,208.0,97,9.5,12,7,32.15,11.19,9.36,2.57,0
TX,84,510,no,yes,11,135.0,83,253.7,45,106.1,46,10.2,11,6,22.95,21.56,4.77,2.75,0
FL,83,415,no,yes,31,259.7,73,249.7,36,276.4,117,8.9,11,0,44.15,21.22,12.44,2.4,0
OH,35,510,no,no,32,219.0,72,232.3,37,153.1,170,13.6,11,7,37.23,19.75,6.89,3.67,1
KY,196,415,no,no,9,221.5,11,225.6,108,203.7,83,11.2,10,3,37.66,19.18,9.17,3.02,0
CA,69,415,no,yes,3,220.0,31,250.9,108,240.8,107,9.6,13,6,37.4,21.33,10.84,2.59,1
OH,129,510,no,yes,14,119.2,161,182.8,87,325.2,30,11.2,3,2,20.26,15.54,14.63,3.02,0
OH,196,415,no,no,50,215.0,82,206.9,165,110.1,14,15.1,12,1,36.55,17.59,4.95,4.08,0
KY,140,408,no,no,5,254.8,32,161.4,10,232.2,61,8.1,7,0,43.32,13.72,10.45,2.19,0
IN,188,510,no,no,26,154.1,63,191.2,92,185.1,69,12.4,2,4,26.2,16.25,8.33,3.35,0
TX,27,415,no,no,4,75.9,47,294.8,63,235.0,130,11.1,13,2,12.9,25.06,10.58,3.0,0
FL,56,408,no,no,4,199.7,15,158.7,125,250.6,165,9.4,18,2,33.95,13.49,11.28,2.54,0
IN,234,510,no,no,17,181.8,113,141.7,111,222.6,86,8.0,17,7,30.91,12.04,10.02,2.16,0
CA,23,408,no,no,27,96.4,150,190.3,104,204.3,57,12.3,10,0,16.39,16.18,9.19,3.32,0
OH,153,408,no,yes,34,212.7,25,180.0,61,142.9,44,10.8,12,1,36.16,15.3,6.43,2.92,0
KY,21,408,no,no,21,208.6,53,213.3,60,146.8,171,13.9,5,0,35.46,18.13,6.61,3.75,0
KY,61,415,no,no,33,100.8,36,239.6,89,243.5,7,13.2,17,6,17.14,20.37,10.96,3.56,0
TX,63,510,no,no,3,282.0,8,181.3,11,153.6,126,10.8,19,3,47.94,15.41,6.91,2.92,0
IN,122,510,yes,no,17,220.6,12,305.3,136,223.0,65,8.1,0,2,37.5,25.95,10.04,2.19,1
TX,52,415,no,no,40,77.9,59,261.5,73,270.3,70,15.5,1,2,13.24,22.23,12.16,4.19,0
OH,88,510,no,no,50,224.2,105,161.8,106,129.9,16,8.3,6,2,38.11,13.75,5.85,2.24,0
TX,153,408,no,yes,25,222.7,125,196.0,129,270.5,70,12.2,4,1,37.86,16.66,12.17,3.29,0
FL,237,510,no,no,41,256.4,79,226.4,135,268.7,96,5.2,18,4,43.59,19.24,12.09,1.4,0
KY,55,415,no,no,21,146.3,127,158.6,115,218.5,35,14.2,1,0,24.87,13.48,9.83,3.83,0
KY,46,408,no,no,46,225.0,129,96.8,42,166.8,67,4.5,2,4,38.25,8.23,7.51,1.22,0
CA,32,415,yes,no,32,167.2,59,296.5,145,228.7,107,9.2,19,7,28.42,25.2,10.29,2.48,1
CA,55,408,no,no,42,149.9,114,144.6,38,190.4,20,7.1,9,6,25.48,12.29,8.57,1.92,0
OH,96,408,no,no,13,133.3,42,242.6,30,161.8,45,13.8,9,2,22.66,20.62,7.28,3.73,0
FL,133,510,no,yes,30,77.2,146,235.0,141,207.5,173,8.0,7,8,13.12,19.98,9.34,2.16,1
IN,36,408,no,yes,9,209.2,123,159.2,63,152.7,91,11.4,8,6,35.56,13.53,6.87,3.08,0
TX,110,415,yes,no,50,165.3,138,298.0,102,136.1,106,10.7,1,0,28.1,25.33,6.12,2.89,0
OH,234,510,no,no,23,32.6,46,203.2,96,170.7,123,6.1,2,5,5.54,17.27,7.68,1.65,1
CA,177,415,no,no,20,184.1,62,206.9,43,107.1,15,12.8,15,3,31.3,17.59,4.82,3.46,0
TX,106,408,no,no,47,242.5,134,123.1,96,264.7,149,10.0,3,5,41.22,10.46,11.91,2.7,1
CA,58,415,no,no,7,109.4,93,94.4,1,227.9,133,14.1,5,2,18.6,8.02,10.26,3.81,0
TX,39,415,no,no,31,141.5,122,187.9,159,153.5,44,11.7,12,4,24.06,15.97,6.91,3.16,1
IN,80,408,no,yes,30,203.8,30,264.9,35,172.5,155,7.9,5,2,34.65,22.52,7.76,2.13,0
OH,97,510,no,no,33,41.8,54,106.9,54,241.0,144,9.5,9,6,7.11,9.09,10.84,2.57,0
TX,113,415,no,no,22,151.2,152,207.3,113,268.7,163,9.4,16,4,25.7,17.62,12.09,2.54,1
FL,213,408,no,no,24,198.7,29,204.1,86,205.8,11,12.1,7,3,33.78,17.35,9.26,3.27,1
KY,61,510,no,yes,6,149.7,35,262.1,68,186.1,49,12.0,8,6,25.45,22.28,8.37,3.24,0
FL,137,510,no,yes,18,109.9,49,250.8,110,111.8,58,8.2,1,6,18.68,21.32,5.03,2.21,0
FL,6,510,no,no,6,112.5,141,207.0,79,182.6,103,12.6,16,8,19.12,17.6,8.22,3.4,1
KY,109,415,no,no,46,92.9,28,195.3,39,138.5,11,11.1,19,2,15.79,16.6,6.23,3.0,0
FL,35,415,no,no,7,145.8,154,164.0,23,137.0,39,11.8,10,7,24.79,13.94,6.16,3.19,0
TX,39,415,no,yes,13,237.1,116,142.7,116,266.6,92,11.4,17,6,40.31,12.13,12.0,3.08,0
TX,150,510,no,no,0,307.5,35,168.7,103,193.7,129,12.2,2,8,52.28,14.34,8.72,3.29,1
TX,169,415,no,no,12,182.0,161,144.7,155,207.6,92,7.5,8,1,30.94,12.3,9.34,2.03,0
KY,118,408,yes,no,2,221.5,20,194.7,61,222.0,107,10.5,7,5,37.66,16.55,9.99,2.84,1
FL,5,415,no,no,27,129.2,37,198.3,152,190.4,152,12.7,6,4,21.96,16.86,8.57,3.43,1
KY,170,415,no,yes,37,67.1,74,186.3,6,203.7,84,13.0,6,2,11.41,15.84,9.17,3.51,0
TX,87,510,no,no,50,280.0,125,205.5,37,201.0,73,13.0,7,6,47.6,17.47,9.04,3.51,0
FL,209,415,no,no,14,147.9,36,177.0,118,177.0,126,7.6,19,4,25.14,15.05,7.96,2.05,0
FL,76,408,no,no,35,218.8,119,242.1,85,214.8,30,15.6,4,5,37.2,20.58,9.67,4.21,0
CA,215,510,no,no,2,188.6,146,211.4,85,195.2,174,14.8,2,3,32.06,17.97,8.78,4.0,0
CA,208,408,no,no,3,233.7,117,175.8,90,204.8,104,7.7,18,6,39.73,14.94,9.22,2.08,1
IN,195,510,no,yes,4,231.5,0,141.7,120,200.2,97,9.2,1,6,39.36,12.04,9.01,2.48,1
OH,158,510,no,no,49,195.0,54,195.9,96,305.6,102,11.8,13,4,33.15,16.65,13.75,3.19,1
CA,57,415,no,no,25,200.9,153,257.1,159,253.4,40,8.1,1,6,34.15,21.85,11.4,2.19,0
KY,127,408,no,no,24,245.5,58,229.5,102,241.9,150,11.6,9,6,41.74,19.51,10.89,3.13,0
CA,214,510,no,yes,9,157.9,50,237.9,159,225.4,11,10.6,19,7,26.84,20.22,10.14,2.86,0
IN,201,415,no,no,7,264.0,106,236.2,0,223.0,70,13.5,9,0,44.88,20.08,10.04,3.65,0
FL,29,510,no,yes,11,141.8,142,260.8,44,184.8,95,11.2,16,3,24.11,22.17,8.32,3.02,0
IN,239,510,no,yes,2,184.1,7,243.1,63,260.5,21,4.5,1,0,31.3,20.66,11.72,1.22,0
FL,165,510,no,no,26,214.0,93,207.5,134,217.8,55,12.3,0,2,36.38,17.64,9.8,3.32,0
FL,87,510,no,no,49,92.0,141,179.6,165,231.5,15,13.3,17,7,15.64,15.27,10.42,3.59,0
OH,141,510,no,no,22,254.6,96,243.8,69,184.1,133,9.8,3,6,43.28,20.72,8.28,2.65,1
CA,160,510,no,no,39,205.7,6,79.0,74,153.0,1,10.4,0,2,34.97,6.72,6.88,2.81,1
KY,46,415,no,no,32,358.3,17,263.4,72,261.3,61,10.4,16,3,60.91,22.39,11.76,2.81,0
